abstract_id,model,num_sentences,num_sections,sections_present,hypothesis_length,fa_baseline_lp,fa_top_section,sh_top_section,top_section_agree,fa_time_s,sh_time_s,sh_forward_passes,fa_background,sh_background,words_background,fa_method,sh_method,words_method,fa_objective,sh_objective,words_objective,fa_other,sh_other,words_other,fa_result,sh_result,words_result
train_0,phi3,9,4,"background,method,objective,result",46,-23.09375,background,background,True,0.338,0.36,16,33.46875,36.04125,17,0.09375,3.20328125,39,0.859375,5.93390625,20,,,0,3.0,5.6028125,105
train_1,phi3,6,4,"background,method,objective,result",62,-23.171875,objective,objective,True,0.117,0.354,16,-0.4375,2.783125,22,0.890625,6.80515625,67,67.765625,73.25109375,36,,,0,-0.296875,5.36375,14
train_2,phi3,7,4,"background,method,objective,result",53,-29.140625,method,method,True,0.116,0.35,16,0.84375,4.5075,51,91.046875,98.58734375,53,-0.265625,9.03484375,13,,,0,3.359375,13.8546875,17
train_3,phi3,8,3,"background,method,result",64,-29.671875,method,method,True,0.096,0.181,8,70.515625,84.98765625,45,82.515625,93.72203125,95,,,0,,,0,3.328125,6.2434375,46
train_4,phi3,8,4,"background,method,objective,result",57,-32.75,method,method,True,0.12,0.36,16,1.09375,13.5178125,41,46.375,49.58125,46,19.5,46.2296875,20,,,0,1.71875,18.04625,84
train_5,phi3,6,2,"background,method",67,-34.3125,method,method,True,0.068,0.087,4,12.5625,29.915,53,72.1875,94.2725,95,,,0,,,0,,,0
train_6,phi3,10,3,"background,method,result",60,-39.875,method,method,True,0.092,0.175,8,-1.1875,3.750625,36,36.5,35.698125,89,,,0,,,0,30.3125,31.67625,34
train_7,phi3,5,4,"background,method,objective,result",46,-35.125,method,method,True,0.116,0.352,16,-1.1875,5.0625,26,91.0,93.274375,52,1.0625,7.993125,36,,,0,0.21875,0.795,21
train_8,phi3,10,5,"background,method,objective,other,result",58,-30.828125,result,result,True,0.149,0.746,32,-0.421875,8.30109375,117,17.265625,20.3859375,21,14.484375,18.33375,31,-0.234375,0.569375,6,47.109375,52.58171875,35
train_9,phi3,3,2,"method,objective",51,-36.53125,objective,objective,True,0.066,0.085,4,,,0,2.8125,5.2275,24,104.84375,106.74125,78,,,0,,,0
train_10,phi3,5,4,"background,method,objective,result",65,-36.46875,objective,objective,True,0.115,0.348,16,0.96875,4.076875,48,1.3125,7.42375,33,58.59375,60.90625,29,,,0,25.8125,26.624375,20
train_11,phi3,4,3,"method,objective,result",64,-26.421875,result,objective,False,0.088,0.173,8,,,0,4.234375,17.73984375,56,27.171875,34.29328125,17,,,0,30.421875,31.295,19
train_12,phi3,7,3,"background,method,result",55,-20.015625,result,result,True,0.096,0.179,8,33.828125,30.95640625,21,12.109375,18.53109375,14,,,0,,,0,96.609375,99.121875,131
train_13,phi3,8,5,"background,method,objective,other,result",54,-33.40625,background,background,True,0.136,0.684,32,78.59375,82.33171875,66,-0.5,6.46078125,20,-0.21875,5.41765625,14,-0.40625,0.17515625,4,-0.6875,1.4584375,27
train_14,phi3,6,4,"background,method,objective,result",61,-32.84375,method,method,True,0.113,0.341,16,6.46875,16.73125,25,76.84375,94.2759375,83,1.125,9.156875,24,,,0,-0.75,10.2421875,26
train_15,phi3,9,4,"background,method,objective,result",50,-23.78125,result,result,True,0.115,0.345,16,0.46875,3.30078125,40,0.078125,28.3775,37,-0.265625,7.05265625,48,,,0,33.125,63.8628125,33
train_16,phi3,8,4,"background,method,objective,result",48,-37.65625,objective,objective,True,0.122,0.359,16,-0.78125,0.4775,100,13.46875,22.79875,40,41.90625,45.976875,20,,,0,31.28125,33.715625,32
train_17,phi3,4,2,"background,method",62,-30.515625,background,background,True,0.062,0.08,4,33.265625,48.90625,37,13.484375,33.390625,49,,,0,,,0,,,0
train_18,phi3,9,5,"background,method,objective,other,result",52,-28.21875,objective,objective,True,0.162,0.731,32,30.25,26.42,25,0.140625,6.18296875,24,60.90625,70.46453125,78,-1.34375,4.88546875,36,0.46875,15.70328125,38
train_19,phi3,5,2,"method,objective",57,-29.171875,method,method,True,0.063,0.092,4,,,0,50.765625,58.736875,103,29.703125,35.96625,16,,,0,,,0
train_20,phi3,10,3,"background,method,result",53,-39.25,result,result,True,0.101,0.195,8,3.0625,27.564375,70,0.53125,1.0890625,37,,,0,,,0,94.875,117.4715625,101
train_21,phi3,8,3,"background,method,result",59,-35.875,method,method,True,0.091,0.175,8,25.625,39.0503125,81,39.8125,48.4359375,41,,,0,,,0,3.78125,12.26375,48
train_22,phi3,10,5,"background,method,objective,other,result",64,-36.3125,method,method,True,0.141,0.696,32,-0.875,4.4259375,43,35.8125,39.878125,92,-0.28125,4.4115625,21,-0.34375,-0.298125,23,12.5625,25.2075,21
train_23,phi3,10,4,"background,method,objective,result",57,-33.59375,result,result,True,0.119,0.351,16,1.25,12.128125,105,21.15625,34.1146875,45,13.90625,26.0196875,28,,,0,41.65625,38.14375,14
train_24,phi3,8,4,"background,method,objective,result",65,-36.46875,method,method,True,0.115,0.346,16,-0.40625,3.483125,38,41.96875,59.4578125,100,6.28125,11.3453125,15,,,0,0.65625,16.745,23
train_25,phi3,6,2,"method,result",54,-32.625,method,method,True,0.068,0.096,4,,,0,65.625,92.19,110,,,0,,,0,6.625,40.435,41
train_26,phi3,8,4,"background,method,objective,result",53,-35.625,method,method,True,0.115,0.346,16,0.1875,5.69875,12,102.25,116.168125,74,2.65625,14.7015625,21,,,0,1.75,10.4315625,45
train_27,phi3,9,4,"background,method,objective,result",61,-34.5625,method,method,True,0.125,0.358,16,6.0625,16.301875,44,84.5625,98.496875,77,47.5,53.85125,31,,,0,23.0,30.1625,64
train_28,phi3,5,2,"background,method",58,-33.6875,background,background,True,0.064,0.082,4,59.6875,67.40125,52,3.90625,13.72375,64,,,0,,,0,,,0
train_29,phi3,5,2,"background,method",61,-28.875,background,background,True,0.065,0.084,4,85.25,90.15875,60,3.46875,9.71625,72,,,0,,,0,,,0
train_30,phi3,9,3,"method,objective,result",59,-31.25,objective,objective,True,0.094,0.176,8,,,0,29.3125,38.68625,132,46.8125,50.45,57,,,0,1.0625,9.86375,51
train_31,phi3,9,3,"background,method,result",65,-28.5625,result,result,True,0.09,0.17,8,-0.359375,8.78578125,38,-0.3125,6.80375,15,,,0,,,0,72.125,77.91046875,96
train_32,phi3,10,5,"background,method,objective,other,result",54,-28.5625,objective,objective,True,0.173,0.77,32,-0.578125,0.46640625,87,-0.296875,23.228125,46,53.75,74.128125,55,-0.109375,0.28734375,1,-0.265625,2.3275,37
train_33,phi3,10,4,"background,method,objective,result",71,-36.40625,objective,objective,True,0.113,0.342,16,19.4375,24.486875,34,11.59375,20.1684375,62,35.84375,47.3053125,45,,,0,2.09375,10.008125,46
