abstract_id,model,num_sentences,num_sections,sections_present,hypothesis_length,fa_baseline_lp,fa_top_section,sh_top_section,top_section_agree,fa_time_s,sh_time_s,sh_forward_passes,fa_background,sh_background,words_background,fa_objective,sh_objective,words_objective,fa_method,sh_method,words_method,fa_result,sh_result,words_result,fa_other,sh_other,words_other
train_0,llama8b,9,4,"background,method,objective,other",67,-22.6875,method,method,True,0.427,0.574,16,1.390625,3.31078125,17,-0.046875,13.8440625,39,43.75,51.38296875,20,,,0,35.71875,40.5246875,105
train_1,llama8b,6,4,"background,method,objective,other",62,-16.1875,method,objective,False,0.186,0.56,16,21.125,28.70296875,22,17.09375,29.926875,67,36.53125,29.54203125,36,,,0,0.203125,0.640625,14
train_2,llama8b,7,4,"background,method,objective,other",69,-36.15625,objective,objective,True,0.177,0.547,16,3.15625,5.955625,51,40.59375,42.396875,53,10.65625,16.7959375,13,,,0,2.34375,9.5703125,17
train_3,llama8b,8,3,"background,objective,other",69,-23.78125,objective,objective,True,0.151,0.286,8,41.15625,43.4959375,45,61.90625,62.1540625,95,,,0,,,0,2.90625,3.44375,46
train_4,llama8b,8,4,"background,method,objective,other",76,-34.25,other,method,False,0.196,0.575,16,1.46875,13.793125,41,13.40625,10.8603125,46,32.3125,44.0553125,20,,,0,37.375,36.29125,84
train_5,llama8b,6,2,"background,objective",72,-19.375,objective,objective,True,0.108,0.139,4,17.21875,30.735,53,79.6875,96.89,95,,,0,,,0,,,0
train_6,llama8b,10,3,"background,objective,other",66,-28.5,objective,objective,True,0.145,0.279,8,1.953125,5.32484375,36,38.4375,37.0253125,89,,,0,,,0,30.53125,31.39984375,34
train_7,llama8b,5,4,"background,method,objective,other",67,-40.0625,background,method,False,0.176,0.539,16,17.90625,31.4575,26,3.6875,16.905625,52,13.6875,34.1528125,36,,,0,3.09375,2.0465625,21
train_8,llama8b,10,5,"background,method,objective,other,result",68,-33.0,other,other,True,0.237,1.156,32,2.28125,13.826875,117,1.6875,6.1809375,21,16.78125,21.4928125,31,2.75,-0.0825,6,55.125,57.831875,35
train_9,llama8b,3,2,"method,objective",67,-21.75,method,method,True,0.1,0.131,4,,,0,37.0,41.62,24,47.125,50.755,78,,,0,,,0
train_10,llama8b,5,4,"background,method,objective,other",70,-20.578125,method,method,True,0.171,0.532,16,19.734375,15.53375,48,1.46875,8.2415625,33,58.796875,58.0534375,29,,,0,21.515625,13.655625,20
train_11,llama8b,4,3,"method,objective,other",71,-27.484375,other,other,True,0.134,0.263,8,,,0,18.609375,29.37984375,56,11.390625,19.43890625,17,,,0,33.765625,37.884375,19
train_12,llama8b,7,3,"background,objective,other",67,-33.71875,other,other,True,0.15,0.28,8,2.71875,7.0921875,21,14.4375,21.47375,14,,,0,,,0,67.21875,70.9653125,131
train_13,llama8b,8,5,"background,method,objective,other,result",69,-28.125,other,background,False,0.213,1.078,32,32.71875,40.84359375,66,-0.21875,10.98953125,20,1.171875,6.46890625,14,3.46875,3.6396875,4,38.3125,35.80828125,27
train_14,llama8b,6,4,"background,method,objective,other",61,-20.953125,objective,objective,True,0.184,0.553,16,16.171875,30.99953125,25,60.421875,80.64578125,83,-0.109375,6.25265625,24,,,0,0.171875,3.39890625,26
train_15,llama8b,9,4,"background,method,objective,other",64,-41.15625,other,other,True,0.181,0.552,16,-1.34375,1.2340625,40,3.0625,30.1390625,37,0.09375,10.0178125,48,,,0,25.03125,54.2028125,33
train_16,llama8b,8,4,"background,method,objective,other",68,-46.96875,method,method,True,0.196,0.577,16,5.0625,4.261875,100,4.71875,16.290625,40,36.59375,42.2315625,20,,,0,36.03125,38.4971875,32
train_17,llama8b,4,2,"background,objective",73,-26.875,background,background,True,0.1,0.13,4,26.84375,35.025,37,21.4375,31.85,49,,,0,,,0,,,0
train_18,llama8b,9,5,"background,method,objective,other,result",66,-20.9375,method,method,True,0.244,1.157,32,36.0625,30.95046875,25,-0.234375,10.24703125,24,67.125,74.8,78,0.71875,10.82375,36,36.0625,44.74125,38
train_19,llama8b,5,2,"method,objective",63,-18.859375,objective,objective,True,0.101,0.132,4,,,0,51.015625,64.184375,103,28.546875,38.89375,16,,,0,,,0
train_20,llama8b,10,3,"background,objective,other",65,-26.15625,other,other,True,0.16,0.294,8,11.5,32.770625,70,1.9375,8.259375,37,,,0,,,0,114.21875,129.93875,101
train_21,llama8b,8,3,"background,objective,other",64,-20.109375,objective,objective,True,0.147,0.281,8,2.640625,18.81734375,81,72.078125,68.25734375,41,,,0,,,0,15.234375,21.9409375,48
train_22,llama8b,10,5,"background,method,objective,other,result",73,-38.125,objective,objective,True,0.235,1.123,32,0.75,4.3990625,43,37.125,46.1409375,92,-0.125,1.250625,21,1.9375,0.61625,23,1.125,6.718125,21
train_23,llama8b,10,4,"background,method,objective,other",68,-26.328125,objective,objective,True,0.193,0.57,16,4.703125,14.33203125,105,29.390625,41.825625,45,25.203125,31.06609375,28,,,0,3.046875,9.010625,14
train_24,llama8b,8,4,"background,method,objective,other",72,-40.875,objective,objective,True,0.189,0.56,16,2.1875,4.455625,38,63.1875,84.866875,100,5.78125,15.02875,15,,,0,1.625,12.39875,23
train_25,llama8b,6,2,"objective,other",62,-26.546875,objective,objective,True,0.109,0.139,4,,,0,52.265625,52.75375,110,,,0,,,0,34.828125,35.449375,41
train_26,llama8b,8,4,"background,method,objective,other",63,-32.40625,method,method,True,0.187,0.559,16,-0.984375,5.35125,12,-1.296875,15.25125,74,45.21875,59.12125,21,,,0,-2.296875,4.745,45
train_27,llama8b,9,4,"background,method,objective,other",66,-22.921875,method,objective,False,0.204,0.586,16,5.421875,11.31109375,44,49.015625,60.17390625,77,53.890625,57.6825,31,,,0,10.140625,19.910625,64
train_28,llama8b,5,2,"background,objective",72,-23.671875,background,background,True,0.102,0.132,4,56.640625,68.83,52,6.609375,22.123125,64,,,0,,,0,,,0
train_29,llama8b,5,2,"background,objective",68,-42.53125,background,background,True,0.102,0.133,4,83.28125,85.165,60,35.90625,38.30375,72,,,0,,,0,,,0
train_30,llama8b,9,3,"method,objective,other",68,-25.28125,other,other,True,0.156,0.292,8,,,0,3.46875,20.4325,132,16.96875,19.128125,57,,,0,32.9375,37.470625,51
train_31,llama8b,9,3,"background,objective,other",70,-23.15625,other,other,True,0.145,0.276,8,2.03125,8.730625,38,1.234375,4.55734375,15,,,0,,,0,78.65625,83.49328125,96
train_32,llama8b,10,5,"background,method,objective,other,result",67,-26.078125,method,method,True,0.271,1.23,32,1.578125,5.13453125,87,2.46875,24.73421875,46,61.421875,80.12765625,55,-0.640625,0.90234375,1,0.71875,3.898125,37
train_33,llama8b,10,4,"background,method,objective,other",73,-26.265625,method,method,True,0.186,0.555,16,33.578125,34.10296875,34,49.671875,41.95640625,62,69.921875,66.741875,45,,,0,53.109375,46.308125,46
train_34,llama8b,7,3,"method,objective,other",61,-21.359375,objective,objective,True,0.158,0.297,8,,,0,110.515625,110.23984375,132,14.703125,24.81328125,27,,,0,17.921875,22.0875,40
train_35,llama8b,7,4,"background,method,objective,other",65,-29.28125,background,background,True,0.18,0.543,16,58.59375,73.75140625,68,4.25,19.05390625,44,8.15625,21.724375,20,,,0,0.421875,0.9390625,1
train_36,llama8b,9,4,"background,method,objective,other",64,-44.78125,background,other,False,0.195,0.568,16,8.6875,25.7928125,39,-1.40625,1.7890625,42,-2.46875,1.59375,24,,,0,6.15625,27.293125,78
train_37,llama8b,4,4,"background,method,objective,other",65,-27.21875,method,method,True,0.177,0.543,16,11.65625,10.5871875,23,3.546875,8.78765625,17,49.40625,55.56140625,42,,,0,3.671875,8.72,49
train_38,llama8b,8,3,"background,objective,other",72,-35.875,objective,objective,True,0.142,0.274,8,4.3125,12.180625,55,28.9375,46.8640625,68,,,0,,,0,4.21875,7.7053125,25
train_39,llama8b,7,4,"background,method,objective,other",65,-30.25,method,objective,False,0.19,0.566,16,-0.15625,8.0025,36,31.8125,60.7071875,76,33.875,60.5253125,27,,,0,2.5,4.89,26
train_40,llama8b,5,3,"background,objective,other",64,-19.21875,objective,objective,True,0.136,0.267,8,1.0625,6.62140625,46,64.78125,68.45515625,28,,,0,,,0,2.984375,3.2046875,41
train_41,llama8b,10,3,"background,objective,other",70,-23.5625,objective,objective,True,0.149,0.284,8,22.4375,32.764375,61,49.125,65.77375,94,,,0,,,0,-0.375,0.336875,16
train_42,llama8b,3,3,"background,method,objective",74,-34.875,method,method,True,0.132,0.258,8,6.875,14.06125,18,4.8125,13.829375,20,31.8125,44.234375,28,,,0,,,0
